state,cancelled_orders,cancelled_amount
MAHARASHTRA,1802,1110764.14
KARNATAKA,1318,831133.37
TELANGANA,948,626487.65
TAMIL NADU,932,561301.11
UTTAR PRADESH,918,629986.08
KERALA,744,452906.58
ANDHRA PRADESH,526,337625.72
DELHI,503,329126.97
WEST BENGAL,473,300667.44
Gujarat,380,242258.82
HARYANA,341,227818.99
MADHYA PRADESH,218,139601.98
ODISHA,203,141729.63
RAJASTHAN,196,139151.4
BIHAR,190,136472.32
ASSAM,135,88187.2
PUNJAB,135,95156.84
JHARKHAND,129,86969.21
UTTARAKHAND,128,88520.55
HIMACHAL PRADESH,82,57088.51
CHHATTISGARH,81,52723.83
GOA,77,44030.85
JAMMU & KASHMIR,66,46250.74
ANDAMAN & NICOBAR ,31,19323.62
PUDUCHERRY,28,16809.24
CHANDIGARH,22,13215.05
MEGHALAYA,22,14762.9
MANIPUR,21,11672.99
NAGALAND,17,9804.67
SIKKIM,16,12116.66
ARUNACHAL PRADESH,12,9070.0
TRIPURA,12,8006.4
Delhi,11,9058.87
MIZORAM,11,6308.71
New Delhi,7,3490.95
DADRA AND NAGAR,6,4605.92
LADAKH,5,4002.43
Odisha,4,2182.76
Rajasthan,3,2009.76
Meghalaya,2,921.91
Arunachal Pradesh,1,700.0
Bihar,1,459.0
Chandigarh,1,827.62
LAKSHADWEEP,1,734.29
Rajshthan,1,563.0
delhi,1,647.62
